Date,Open,High,Low,Close,Volume
1/3/2022 16:00:00,144.48,145.55,143.5,145.07,1261225
1/4/2022 16:00:00,145.55,146.61,143.82,144.42,1146389
1/5/2022 16:00:00,144.18,144.3,137.52,137.65,2482076
1/6/2022 16:00:00,137.5,139.69,136.76,137.55,1452452
1/7/2022 16:00:00,137.91,138.25,135.79,137,970412
1/10/2022 16:00:00,135.1,138.64,133.14,138.57,1704784
1/11/2022 16:00:00,138.18,140.33,136.81,140.02,1175062
